Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
55,24,87.4,Sítio Da Serra,826.73,$8.50,"$7,027.21",GLITCH COFFEE & ROASTERS,Paulo Henrique Miranda,1300,Brazil,2021,,,"Clover honey, Orange, Sweet","Apple, Bakers, Black Currant, Chamomile, Cherry, Grape, Lime, Mandarin Orange, Marshmallow, Milk Chocolate, Panela, Pineapple, Plum, Pomegranate, Prune, Raisin, Red Grape, Strawberry, Sweet, Vanillin","Apple, Malic Acid",Pulped Natural,Catucaí Açu - Iapar 59,,7.0,Brazil
56,25,87.33,Sitio São João,661.39,$8.50,"$5,621.82",Wataru for Voila Coffee,João Batista Dos Santos,1100,Brazil,2021,,,Crisp,"Orange, Blackberry, Red Currant, Black Cherry, Bourgemot, Cane sugar, Cocoa, Dark Chocolate, Grape, Hint of black tea, Jammy, Nutmeg,","Malic Acid, Bright, Citric Acid, Sparkling",Pulped Natural,Catucaí,,18.0,Brazil
57,26,87.33,Sítio Rancho Dantas,793.67,$9.20,"$7,301.76","

Linking Coffee Co., Ltd.

",Florentino Meneguetti,1050,Brazil,2021,,,"Nutty, Tangy","Almond, Apricot, Black Tea, Brown Spice, Brown Sugar, Cane sugar, Caramel, Dark Chocolate, Dried Dates, Floral, Grapefruit, Honey, Lemongrass, Malt, Milk Chocolate, Orange, Peach, Plum, Raspberry, Red Currant","Crisp, Lively, Medium acidity",Fully Washed,Catucaí 785,,9.6,Brazil
58,27,87.3,Fazenda Irmãs Pereira,793.67,$9.20,"$7,301.76","

Linking Coffee Co., Ltd.

",Maria Rogéria Costa Pereira E Outros,1100,Brazil,2021,,,"Black Cherry, Complete, Floral, Milk Chocolate","Black Cherry, Brown Sugar, Caramel, Bakers Chocolate, Berry, Chocolate, Cranberry, Dark Chocolate, Dried prune, Lacks sweetness, Lime, Malt, Nutmeg, Pineapple, Roasted Rose Hips, Sweet, Yellow fruit basket","Malic Acid, Red Apple, Tartaric acid",Pulped Natural,Gesha,,250.0,Brazil
59,28,87.17,Sitio Santa Barbara,1058.22,$8.20,"$8,677.40","

Wataru & Co., Ltd.

",Lindolfo Martins De Assunção,1378,Brazil,2021,,,"Banana, Bittersweet Chocolate, Consistency, Good balance, Nutty","Black Tea, Jasmine, Orange, Caramel, Cherry, Dark Chocolate, Florall, Hint of jasmin, Lemongrass, Raspberry, Vanilla, Watery","Malic Acid, Citric Acid, Lively",Pulped Natural,Red Catuaí,,5.0,Brazil
60,29,87.1,Fazenda Ponte Alta,727.53,$8.10,"$5,892.99","

Wataru & Co., Ltd.

",Marina Brito Oliveira,1280,Brazil,2021,,,"Dark Chocolate, Long sweet aftertatse, Soft","Black Tea, Apple, Apricot, Bakers Chocolate, Beautifully Balanced, Brown Sugar, Chocolate, Lacks complexity, Milk Chocolate, Mirabelle plum, Muscat, Orange, Plum, Rose, Sweet","Mild, Bright, Malic Acid, Tartaric acid",Natural,Yellow Catuaí,,24.0,Brazil
61,1a,91.41,Fazenda Tijuco,462.97,$43.00,"$19,907.71",Caffè Pascucci Torrefazione S.p.A.,Antonio Rigno de Oliveira Filho,,Brazil,2022,,,,,,Natural,Catuaí 144,,,Brazil
62,1b,91.41,Fazenda Tijuco,462.97,$42.90,"$19,861.41","KALDI COFFEE FARM (CAMEL COFFEE CO.,LTD.)",Antonio Rigno de Oliveira Filho,,Brazil,2022,,,,,,Natural,Catuaí 144,,,Brazil
63,2a,90.59,Sitio Bonilha,363.76,$31.00,"$11,276.56",Kyokuto Fadie Corporation,Maridalton Silva Santana,,Brazil,2022,,,,,,Pulped Natural,Catuaí 144,,,Brazil
64,2b,90.59,Sitio Bonilha,363.76,$30.40,"$11,058.30",TAKAMURA COFFEE ROASTERS by MARUKAI,Maridalton Silva Santana,,Brazil,2022,,,,,,Pulped Natural,Catuaí 144,,,Brazil
65,3a,90.53,FAZENDA RECANTO,396.83,$15.70,"$6,230.23",NOZY COFFEE,AFONSO MARIA VINHAL,,Brazil,2022,,,,,,Natural,Catucaí 2SL,,,Brazil
66,3b,90.53,FAZENDA RECANTO,396.83,$15.80,"$6,269.91",Wataru for GOLPIE COFFEE,AFONSO MARIA VINHAL,,Brazil,2022,,,,,,Natural,Catucaí 2SL,,,Brazil
67,4,90.47,Fazenda Recreio,562.18,$25.10,"$14,110.72","KALDI COFFEE FARM (CAMEL COFFEE CO.,LTD.)",HOMERO TEIXEIRA DE MACEDO JUNIOR,,Brazil,2022,,,,,,Natural,Geisha,,,Brazil
68,5,90.41,CASA BRÁS,727.52,$40.00,"$29,100.80",taf coffee,Pedro Brás,,Brazil,2022,,,,,,Natural,Geisha,,,Brazil
69,6,89.31,Fazenda Gerais,760.59,$8.20,"$6,236.84",TASHIRO COFFEE,João Roberto Santana,,Brazil,2022,,,,,,Natural,Catuaí 144,,,Brazil
70,7,89.16,FAZENDA DIVINO ESPÍRITO SANTO,793.66,$12.00,"$9,523.92",terarosa,MICHAEL FREITAS DE ALCÂNTARA,,Brazil,2022,,,,,,Pulped Natural,Catucaí 2SL,,,Brazil
71,8,88.75,FAZENDA CLAUDIO,793.66,$8.75,"$6,944.53",GLITCH COFFEE & ROASTERS And WAVY COFFEE ROASTERS by MARUKAI,CELIA REGINA ALVES NUNES,,Brazil,2022,,,,,,Natural,Yellow Catuaí 62,,,Brazil
72,9,88.38,Sítio São Sebastião,793.66,$7.40,"$5,873.08",NOZY COFFEE,Merce Jordan Araújo Silva,,Brazil,2022,,,,,,Natural,Catuaí 144,,,Brazil
73,10,88.06,Sitio Entre Vales,793.66,$7.20,"$5,714.35",Honu Kato Coffee,Diana de Souza Soares Moreira,,Brazil,2022,,,,,,Natural,Catucaí 2SL,,,Brazil
74,11,87.84,SÍTIO DA CHAPADA,793.66,$7.40,"$5,873.08",Honu Kato Coffee,MARCUS VINICIUS SOUZA DE CARVALHO e outro(s),,Brazil,2022,,,,,,Natural,Red Catucaí,,,Brazil
75,12,87.84,SÍTIO SÃO PEDRO,793.66,$7.20,"$5,714.35","GSC International Co., Ltd",Leticia Brás,,Brazil,2022,,,,,,Natural,SL28 & GEISHA,,,Brazil
76,13,87.81,DRALZIO FERREIRA DE SANTANA,892.87,$7.10,"$6,339.38",TASHIRO COFFEE,DRAUZIO FERREIRA DE SANTANA,,Brazil,2022,,,,,,Pulped Natural,Yellow Catuaí,,,Brazil
77,14,87.75,Fazenda Santa Inês,727.52,$8.00,"$5,820.16",Volcanica Coffee,Antonio Jose Junqueira Villela,,Brazil,2022,,,,,,Pulped Natural,Yellow Bourbon,,,Brazil
78,15,87.72,Córrego Seco,1554.26,$6.90,"$10,724.39","Wataru & Co., Ltd.",Edemar Lúcio Matos Martins,,Brazil,2022,,,,,,Pulped Natural,Catuaí 144,,,Brazil
79,16,87.63,Fazenda Capão,925.94,$6.80,"$6,296.39",NAGAHAMA COFFEE Inc.,Rosilene Lima Novais Mesquita,,Brazil,2022,,,,,,Natural,Red Catuaí,,,Brazil
80,17,87.63,Sítio São Judas Tadeu,793.66,$7.20,"$5,714.35","Wataru & Co., Ltd.",José Marcio da Silva,,Brazil,2022,,,,,,Natural,Yellow Bourbon,,,Brazil
81,18,87.47,Terracota Specialty Coffee,562.18,$8.10,"$4,553.66",Little City Coffee Roasters,felipe luiz ramos de carvalho,,Brazil,2022,,,,,,Natural,Catiguá MG2,,,Brazil
82,19,87.47,FAZENDA CHAPADÃO,793.66,$8.85,"$7,023.89",Studio Caffeine,OSMAR PEREIRA NUNES JUNIOR,,Brazil,2022,,,,,,Natural,MGS Paraíso 2,,,Brazil
83,20,87.19,Fazenda Cerca de Pedras São Benedito,793.66,$7.20,"$5,714.35",Wataru for Voila Coffee,Sivio Leite Café,,Brazil,2022,,,,,,Pulped Natural,Red and Yellow Catuaí,,,Brazil
84,21,87.16,Fazenda Baixadão,793.66,$6.80,"$5,396.89","Wataru & Co., Ltd.",Rayssa Brás,,Brazil,2022,,,,,,Natural,Geisha,,,Brazil
85,22,87.13,Paraiso – Andrade Bros,793.66,$6.70,"$5,317.52","Wataru & Co., Ltd.",Espolio de Maria do Carmo de Andrade,,Brazil,2022,,,,,,Natural,Arara,,,Brazil
86,23,87.09,SÍTIO GUIOMAR,727.52,$7.40,"$5,383.65","MUSEO Co., Ltd. // 포비아워스 로스터리 // liike coffee  // huelgo // MC company // 커피화 로스터스",REGINALDO COSTALONGA,,Brazil,2022,,,,,,Fully Washed,Red Catucaí 785,,,Brazil
87,24,87.09,Fazenda Ouro Verde,1025.15,$6.60,"$6,765.99",NOZY COFFEE,Cândido Vladimir Ladeia Rosa,,Brazil,2022,,,,,,Pulped Natural,Catuaí 144,,,Brazil
