Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
212,14,87.56,Libertad,624.0,$6.10,"$3,806.40",Kyokuto Fadie Corporation,Danny Joél Pastrana Gómez,1480-1600,Nicaragua,2022,,,"Black Currant, Caramel, Sparkling acidity, long aftertaste","Plum , Black Tea, Caramelized, Citrus, Cola, Creamy, Floral, Fruity, Green Apple, Juicy, Malt, Mild, Nectarine, Nougat, Peach, Pear, Pie, Prunes, Red Apple, Red grapes, Sicilian lemon, Vanilla, Yellow plum","Malic Acid , Blood orange, Bright, Citric Acid, Citrus Fruit, Complex, Lemon & Lime, Orange, Plum",Washed,Caturra,,,Nicaragua
213,15,87.53,Divina Providencia,776.0,$5.20,"$4,035.20","Wataru & Co., Ltd.",Misael Sauceda Olivera,1250 a 1400 masl,Nicaragua,2022,,,"Cocoa, Cream, Lemon, Overall Sweet, Pipe Tobacco, Sweet Aromatics","Brown Sugar , Green Apple , Hazelnut , Orange , Sweet , Almond, Apricot, Brown Spice, Citrus, Citrus Fruit, Complex, Floral, Fresh juice, Green Tea, Herbal, Honey, Lemon, Lemon & Lime, Lime, Lively acidity, Melon, Nutty, Peach, Pear, Pineapple, Pistachio, Red Apple, Roasted Almond, Sweet and bright, Sweet herb, Vanilla, Watermelon","Citric Acid , Lemon , Malic Acid , Bright, Citric, Citrus Fruit, Molasses, Structure",Semi-Washed,Maragogipe,,,Nicaragua
214,16,87.41,Las Pavas,759.0,$5.20,"$3,946.80","Wataru & Co., Ltd.",Ricardo Gutiérrez Mendoza,1200 msnm,Nicaragua,2022,,,"Brown Sugar, Butter, Caramel, Sweet Aromatics, Berry, Caramelized,","Caramel , Plum , Blackberry, Brown Sugar, Butter, Buttery, Cocoa Powder, Complex, Dark Chocolate, Floral, Grapefruit, Honeydew, Juicy citrus, Lemon & Lime, Lime Peach, Pecan, Prune, Red Currant, Red Grape, Roasted Almond, Roasted Hazelnut, Tangerine, Toffy, Yellow plum","Citric Acid, Delicate, Lemon, Malic Acid, Plum, Sweet",Washed,Catimor,,,Nicaragua
215,17,87.41,La Esperanza,504.0,$5.80,"$2,923.20","Wataru & Co., Ltd.",Olga Marina González / Indira Paola Zavala,1250 -1500masl,Nicaragua,2022,,,"Almond, Apricot, Bright acid, Juicy, Red wine","Blackberry , Floral , Vanilla , Butter, Caramelized, Chocolate, Complex, Dark Chocolate, Dark syrup, Green Apple, Kiwi, Lemon peel, Lemongrass, Mint, Peach, Pineapple, Raspberry, Red Currant, Red Grape, Star Fruit, Strawberry, Sweet, Sweet herb, Tangerine","Lemon & Lime , Citric Acid, Citrus, Green Apple, Lively, Malic Acid",Honey,Maracaturra,,,Nicaragua
216,18,87.35,Los Pirineos,434.0,$5.90,"$2,560.60","THE DRIP CO.,LTD",Eudoro José Guillén Jarquín,1250 -1450 meters,Nicaragua,2022,,,"Bittersweet Chocolate, Sweet, White Grape, Cinnamon","Citrus Fruit , Dark Chocolate , Peach , Berry, Bitter, Brown Sugar, Cherries, Cherry, Cocoa, Grape, Grapefruit, Green, Honey, Kiwi, Lemon & Lime, Lime, Mandarin Orange, Nectarine, Nutty, Overall Sweet, Peanuts, Pineapple, Raisin, Sweet, Vanilla","Citric Acid, Citrus Fruit, Juicy, Plum, Sharp, Structure, Sweet",Natural,Caturra,,,Nicaragua
217,19,87.32,El Recuerdo,385.0,$5.60,"$2,156.00",Wataru for OGAWA COFFEE,Norma Elisa Flores Miranda,,Nicaragua,2022,,,"Honey, Juicy, Nectarine, Sweet herbs, Pommegranate","Black Tea, Melon , Vanilla , Black Cherry, Brown Sugar, Candy, Cinnamon, Citric Acid, Citrus, Cocoa, Floral, Grape, Honey, Juicy, Licorice-anise, Lychee, Molasses, Nectarine, Peach, Pineapple, Pluot, Raspberry, Red Currant, Red Grape, Red wine, Ruby Grapefruit","Citric Acid , Tartaric , Bright acid, Cherry, Delicate, Lemon & Lime, Orange, Structure",Natural,Caturra,,,Nicaragua
218,20,87.26,El Chele,423.0,$7.30,"$3,087.90","Wataru & Co., Ltd.",Norman Alexander Torres Rivera,,Nicaragua,2022,,,"Delicate, Crisp, Lemon & Lime, Plum","Brown Sugar , Melon , Orange , Raspberry , Tangerine , Casis, Dried Dates, Golden Raisin, Green Grape, Green Tea, Guava, Honeydew, Juice like, Lemon, Litchi, Mandarin Orange, Marshmallow, Milk Chocolate, Peach, Red Currant, Red Grape, Sweet, Tea-like, Vanilla, Yellow apple","Bright , Citric Acid, Crisp, Lemon & Lime, Plum, Sparkling",Natural,Catuai Rojo,,,Nicaragua
219,21,87.18,Los Cuadros,326.0,$5.60,"$1,825.60","Wataru & Co., Ltd.",Rosa Ines Rubio,1400 masl,Nicaragua,2022,,,"Caramel, Mandarin Orange, Structured, Round Mouthfeel","Bittersweet Chocolate , Blueberry , Caramel , Cherry , Cocoa , Grapefruit , Red Grape , Brown Sugar, Floral, Golden Raisin, Kiwi, Licorice-anise, Mandarin Orange, Nutty, Plum, Prune, Raisin, Red plum, Rum, Strawberry, Sweet, Sweet herb, Tea Rose, Vanilla","Bright , Citric Acid, Dark Green, Grape, Juicy, Lemon, Plum, Raspberry",Natural,Caturra,,,Nicaragua
220,22,87.15,El Poste,891.0,$5.10,"$4,544.10",honu加藤珈琲店株式会社,Guillermo Montenegro Ayesta,,Nicaragua,2022,,,"Bakers Chocolate, Overall Sweet, black tea, complex, lychees","Burnt Sugar , Milk Chocolate , Peach , Red Currant , Berry, Body/Fullness, Brown Spice, Brown Sugar, Caramel, Casis, Citrus, Cocoa, Floral, Hazelnut, Juicy, Lemon & Lime, Lime, Lychee, Raisin, Red Apple, Red Grape, Vanilla","Bright, Cherry, Citrus Fruit, Crisp, Green Apple, Lemon & Lime, Lively, Malic Acid, Mandarin Orange, Plum, Tartaric",Washed,Catuai Rojo,,,Nicaragua
221,23,87.12,Ufcm,324.0,$7.00,"$2,268.00",MOKKA COFFEE,Mayra Lucila Corrales Rivas,1450 masl,Nicaragua,2022,,,"Balanced, Brown Sugar, Chestnut, Red Currant, Sweet","Brown Sugar , Plum , Complex , Peach , Red Apple , Apricot, Banana, Black Tea, Caramel, Cocoa, Dark berry, Essential oil, Herbal, Honey, Kiwi, Lemon, Lemon & Lime, Milk Chocolate, Prune, Roasted Almond, Savory, Sweet & Sugary, Sweet herb, Tangerine","Bright, Citric Acid, Citrus, Pine, Red Currant, Structured",Washed,Maragogipe,,,Nicaragua
