,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
27,25,Brazil,2019,87.43,Sítio dos Estouros,7.1,5635.13,"Wataru & Co., Ltd.",José Mauro Miranda,1200.0,"Araponga, MG",Matas de Minas,others_process,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,26,Brazil,2019,87.34,Fazenda Santa Mônica,8.7,6905.02,"

Mercanta The Coffee Hunters, Alchemist Singapore, Artisan Roast Scotland, Dark Woods Coffee England, Micro Coffee Roasters China

",Jean Vilhena Faleiros,1200.0,"Cássia, MG",Sul de Minas,natural,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,27,Brazil,2019,87.16,Nascentes da Grama,7.0,5555.76,"Wataru & Co., Ltd.",Clayton Mapelli Cerri,1150.0,"São Sebastião da Grama, SP",Média Mogiana,natural,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,Brazil,2021,90.5,Dbarbosa Coffee – Fazenda Cachoeira,66.0,26190.78,"회현카페 , 커피플랜트 (Coffeeplant)",Vitor Marcelo De Queiroz Barbosa,1100.0,,,natural,0,0,0,0,0,0,0,2,2,1,1,15,0,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,1,Brazil,2021,90.5,Dbarbosa Coffee – Fazenda Cachoeira,61.0,24206.63,Brulerie du Quai & Orsir Coffee,Vitor Marcelo De Queiroz Barbosa,1100.0,,,natural,0,0,0,0,0,0,0,2,2,1,1,15,0,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,2,Brazil,2021,90.14,Fazenda Do I.P.,25.1,9960.43,"

Japan Roasters’ Network

",Luiz Paulo Dias Pereira E Outros,1100.0,,,natural,0,0,0,0,0,0,0,1,3,2,0,15,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
33,2,Brazil,2021,90.14,Fazenda Do I.P.,25.1,9960.43,"회현카페 , 커피플랜트 (Coffeeplant)",Luiz Paulo Dias Pereira E Outros,1100.0,,,natural,0,0,0,0,0,0,0,1,3,2,0,15,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,3,Brazil,2021,89.43,Sítio São Pedro,42.4,29445.1,"

Orsir Coffee Co., Ltd.

",Pedro Brás,1340.0,,,natural,0,0,0,0,0,0,0,1,2,2,2,9,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,4,Brazil,2021,89.18,Fazenda Ressaca,13.5,10714.55,"

Terarosa (Haksan Co. Ltd)

",Wedson Marques De Souza,1245.0,,,others_process,0,0,0,1,0,0,0,1,2,7,1,8,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
36,5,Brazil,2021,89.11,Fazenda Sáo Benedito,9.2,14299.19,NOZY COFFEE,Antonio Jose Junqueira Villela,1150.0,,,others_process,0,0,0,1,0,0,0,1,4,2,2,12,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
37,6,Brazil,2021,89.07,Chácara Vista Alegre,12.25,8507.14,WAVY COFFEE ROASTERS,José Renato Rodrigues Alves,1269.0,,,natural,0,1,0,0,0,0,0,0,2,5,1,10,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
38,7,Brazil,2021,88.93,Fazenda Serra Do Boné,9.7,12510.19,"

Ecom Japan Limited

",Matheus Lopes Sanglard,1250.0,,,others_process,0,0,0,0,0,0,1,0,2,4,1,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,8,Brazil,2021,88.89,Fazenda Santo Antônio,8.6,5972.36,"

Wataru & Co., Ltd.

",Ricardo Vagne Ignotti,1180.0,,,natural,0,0,0,0,0,0,0,2,3,6,1,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,9,Brazil,2021,88.68,Sitio Jardim Das Oliveiras,9.1,6620.52,"

Nagahama Coffee Inc.

",Simone A Dias Sampaio Silva,1159.0,,,others_process,0,0,0,0,0,0,0,0,1,3,3,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10,Brazil,2021,88.68,Sítio Batista,9.1,11134.49,Campos Coffee,José Danilo Braga,1080.0,,,natural,0,0,1,0,0,0,0,0,3,4,1,8,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,11,Brazil,2021,88.17,Fazenda Santa Alina,12.25,8507.14,"

Nossa Familia Coffee

",Lucia Maria Da Silva Dias,1250.0,,,natural,0,0,0,1,1,1,1,1,4,2,0,10,2,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,12,Brazil,2021,88.17,Fazenda Catanduva II,15.1,11984.42,TAKAMURA COFFEE ROASTERS,Marie Nakao Sasaki,1025.0,,,others_process,0,0,0,0,0,0,0,1,4,2,0,8,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,13,Brazil,2021,88.13,Sítio Matinha,10.0,6944.6,Mercanta Ltd & Times Club Japan,Edson Junior De Miranda,1250.0,,,others_process,0,0,0,0,0,0,0,0,1,2,1,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,14,Brazil,2021,88.1,Sítio Monte Alegre,8.6,6541.16,"

DABOV Specialty Coffee

",Glycia Emerenciana Pereira Carneiro E Outros,1150.0,,,others_process,0,0,0,0,0,0,0,0,5,2,1,10,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,15,Brazil,2021,88.1,Fazenda Recreio,26.0,18055.96,"

KALDI COFFEE FARM

",Homero Teixeira De Macedo Junior,1250.0,,,natural,0,0,0,0,0,0,1,1,6,2,2,6,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,16,Brazil,2021,87.87,Vista Brigadeiro,11.0,7639.06,NOZY COFFEE,Waldemar Ferreira De Paula,1530.0,,,others_process,0,0,0,1,0,0,0,0,3,4,2,6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,17,Brazil,2021,87.87,Fazenda Cerca De Pedra São Benedito,57.1,43430.26,Saza Coffee,Silvio Leite Café,1250.0,,,natural,0,0,0,0,0,0,0,0,4,3,2,6,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,18,Brazil,2021,87.83,Fazenda Campo Alegre,8.8,6984.3,"

Kyokuto Fadie Corporation

",Amarildo Corsi Da Silva,1388.0,,,others_process,0,0,0,0,0,0,1,1,4,2,1,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,19,Brazil,2021,87.83,Sitio Rochedo,8.7,7192.55,"

Wataru & Co., Ltd.

",Osman Chirgo Martins,1250.0,,,natural,0,1,0,0,0,0,0,0,1,3,2,10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
