,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
19,18,Ecuador,2021,87.64,El Pino,17.6,6004.77,Latorre&Dutch (China) for KOMENCU Coffee(China),José William Abad Román,1700.0,,,washed,0,0,0,0,0,0,1,0,3,5,2,19,0,0,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,19,Ecuador,2021,87.61,El Granjero,16.0,5377.6,"Wataru & Co., Ltd.",Miguel Enrique Sánchez Cevallos,1800.0,,,washed,0,0,0,1,0,0,2,1,9,8,2,8,2,0,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
21,20,Ecuador,2021,87.57,Santa Gertrudis,29.0,10141.01,Wataru for Voila Coffee,José Luis Eguiguren Pozo,1700.0,,,honey,0,0,0,0,0,0,1,0,4,7,2,15,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,21,Ecuador,2021,87.54,Chorora,20.0,5491.2,"Coffee Montage, 304 roasters, COFFEE PLACE, 502 Coffee Roasters, peer coffee",Olinka Velez Rodriguez,1500.0,,,honey,0,0,0,0,0,0,1,0,8,5,1,13,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,Ecuador,2021,87.21,Terrazas del Pisque,25.1,8185.11,Mercanta Ltd,Horcaf,2100.0,,,honey,0,0,0,0,0,0,1,1,7,6,1,12,3,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,23,Ecuador,2021,87.21,Maputo,26.6,7257.81,Café Imports,Henry Arturo Gaibor Coloma,1300.0,,,honey,0,0,0,0,0,0,0,3,1,9,0,13,1,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,1,Ecuador,2022,90.28,Hacienda Lugmapata,98.2,19484.84,NOZY COFFEE,FAMILIA MERINO,,,,washed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,Ecuador,2022,89.35,La Noria,55.1,22446.64,"Orsir International Co., Ltd.",MARÍA DEL PILAR BURNEO,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,3,Ecuador,2022,89.25,Cruz Loma,96.35,46865.6,Osito Coffee,FAMILIA MORALES RIVERA,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,4,Ecuador,2022,89.1,El Dorado,95.5,38926.76,"NANJING ECO FARM TRADING CO., LTD. / 啟程拓殖 TerraformCoffee / Gee Coffee",IMPOREXPOR AGUA CHOCOVILCAMUNDO,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,5,Ecuador,2022,88.7,La Florida,29.8,11174.4,Kyokuto Fadie Corporation,VITALIANO DEMETRIO MERINO CARRIÓN,,,,washed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
30,6,Ecuador,2022,88.35,Yambamine,35.2,12842.37,realbean,DIANA VELEZ RODRIGUEZ,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7,Ecuador,2022,88.13,La Papaya Halapa CIA LTDA,36.75,10403.93,Grand Cru Coffee (China),JUAN FRANCISCO PEÑA GUILEN,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,8,Ecuador,2022,87.83,Alaska del Sur,30.05,9704.65,印格咖啡 Ingenuity Coffee & Cut Hand Group (剁手咖啡群) & Move River Coffee（陈胜豪） & 周狮虎咖啡 & Kinglo Coffee（轻乐咖）,CURT JOHN MADISON,,,,washed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,9,Ecuador,2022,87.78,Hacienda Biogenica Agroecologica Jesus del Gran Poder,18.95,5078.98,Carrboro Coffee Roasters,WILMER ENRIQUE GRANDA OCHOA,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34,10,Ecuador,2022,87.73,Café Johann,26.3,10699.63,honu加藤珈琲店株式会社,JHONNATAN PATRICIO JUMBO VÉLEZ,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,11,Ecuador,2022,87.68,El Mirador La Papaya,21.6,6390.14,"Coffee Montage, COFFEE PLACE, HYANGMISA, No Doubt, coffeeTemple, 502 Coffee Roasters, DeepBlueLake",MANUEL IGNACIO SANDOVAL ULLOA,,,,washed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,12,Ecuador,2022,87.53,El Alisal,18.4,6477.72,YN coffee,LEONIDAS VICTORIANO JARAMILLO GRANDA,,,,honey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,13,Ecuador,2022,87.45,Santa Rita,25.5,8284.19,Nanjing Eco Farm,JOSE MILTON AJILA AJILA,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,14,Ecuador,2022,87.37,Santa Gertrudis,28.2,7627.82,"Snow Beans Coffee , WAVY COFFEE",JOSÉ LUIS EGUIGUREN,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,15,Ecuador,2022,87.29,La Ponderosa,29.2,8214.84,SARUTAHIKO COFFEE,JORGE ARTURO AJILA,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,16,Ecuador,2022,87.29,Terrazas del Pisque,17.5,8948.1,Mercanta The Coffee Hunters,HORCAF,,,,washed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,17,Ecuador,2022,87.21,La Papaya Halapa CIA LTDA,29.0,8202.07,"Mercanta The Coffee Hunters , Black & White Coffee Roasters",JAIME CARTUCHE,,,,anaerobic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,18,Ecuador,2022,87.0,Cafetalera Angelita,9.9,4286.7,"Wataru & Co., Ltd.",DIEGO GERMÁN SALAS PAUCAR,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
