,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
18,16,México,2022,88.43,Dinastía Altamirano,13.6,8095.4,M.I.COFFEE CORPORATION,Samuel Altamirano Juárez,1400.0,,,honey,0,0,1,0,0,0,1,0,4,4,2,15,1,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
19,17,México,2022,88.2,Finca Cañada Fría,12.1,6402.23,Saza Coffee,José Daniel Cóbilt Castro,1450.0,,,washed,0,0,0,1,0,0,0,1,3,5,5,9,2,0,0,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
20,18,México,2022,88.03,Finca San Rafael,12.35,8168.17,Saza Coffee,Francisco Javier Montiel Valencia,1400.0,,,washed,0,0,0,0,1,0,0,1,6,4,3,12,3,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
21,19,México,2022,88.03,Finca Don Rafa,20.2,22712.07,Saza Coffee,Byeong Soo Kim,1600.0,,,natural,1,1,1,0,0,0,0,0,3,4,2,14,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,20,México,2022,87.87,Ocoteno,12.1,8002.82,TAKAMURA COFFEE ROASTERS by MARUKAI,Miguel Ronquillo Aco,1100.0,,,washed,0,0,0,0,0,0,0,1,6,8,0,12,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,21,México,2022,87.87,Arroyo,12.1,8776.37,"GLITCH COFFEE & ROASTERS, Idle Hands Roasting Company, WAVY COFFEE ROASTERS, Q.O.L.COFFEE and Acid Coffee Tokyo by MARUKAI",Carolina De Lourdes Torres Cortes,1500.0,,,natural,1,0,0,0,0,0,0,0,9,2,1,13,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,22,México,2022,87.8,San Pedro,13.4,7976.35,Kyokuto Fadie Corporation,Mauricio Trejo Sosa,1280.0,,,washed,0,0,0,0,0,1,0,0,6,6,1,12,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,23,México,2022,87.77,Finca Huehuetecpan,12.0,7936.68,"Wataru & Co., Ltd.",Santos Montiel Ochoa,1400.0,,,washed,1,1,0,0,0,0,0,1,3,2,1,9,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
26,24,México,2022,87.67,Temimil,12.1,6402.23,Wataru for Voila Coffee,Belinda Aco Bonilla,1300.0,,,washed,0,0,0,0,0,0,0,1,4,6,2,14,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,México,2022,87.67,Apipias,11.1,10277.93,"DABOV Specialty Coffee, Coffee Me Up (Korea), 331Roasters, Lotus Lab, Coffee Therapy (Thailand)",Mario Alberto Aco Gomez,1200.0,,,washed,0,1,0,1,0,1,0,2,11,6,1,14,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,26,México,2022,87.57,Ojo de Agua,12.15,8839.37,19grams / Tres Cabezas,Sandra Elizabeth Romero Andablo,1130.0,,,washed,1,1,0,0,0,0,1,2,6,6,1,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,27,México,2022,87.4,Fincas Innominada,12.1,8802.99,Kyokuto Fadie Corporation,Hector Hernandez Mendez,1250.0,,,washed,0,1,0,0,1,0,0,1,4,3,1,16,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,28,México,2022,87.3,Metlapoxteca,10.3,5449.83,Honu Kato Coffee Inc.,Teresita Flores Acolt,1150.0,,,washed,0,0,0,0,0,0,0,3,4,4,2,12,0,0,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
31,29,México,2022,87.23,Finca el Bordo,10.0,7936.6,"Wataru & Co., Ltd.",Nieves Isabel Montiel Valencia,1380.0,,,washed,0,0,0,0,0,0,0,1,6,3,2,8,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
32,30,México,2022,87.2,La Vega,10.2,4722.29,Orsir Coffee,Marino Edgar Olarte Maldonado,1100.0,,,washed,1,1,0,0,0,0,0,1,8,4,0,8,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,1,México,2023,91.0,FINCA LAS NIEVES,61.0,16137.55,"Proud Mary – Australia
L’escargot d’or cosmetocafe FRANCE",GUSTAVO BOLTJES RISING,1500.0,,,natural,0,0,0,0,0,0,0,0,2,2,5,4,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,México,2023,91.0,FINCA LAS NIEVES,53.3,13278.1,"SAVAYA COFFEE LLC, Difference Coffee, Coffee Me Up (Korea)",GUSTAVO BOLTJES RISING,1500.0,,,natural,0,0,0,0,0,0,0,0,2,2,5,4,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2,México,2023,90.69,FINCA SANTA CRUZ,43.3,22910.46,"KALDI COFFEE FARM (CAMEL COFFEE CO.,LTD.) – Japan",KARINA ARGUELLO ENRIQUEZ,1700.0,,,honey,1,0,0,0,0,0,0,0,0,1,4,8,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,2,México,2023,90.69,FINCA SANTA CRUZ,43.9,23034.33,"ACCIO BEANS COFFEE
西双版纳里头咖啡有限公司（Little.）
咖星人 E·T COFFEE",KARINA ARGUELLO ENRIQUEZ,1700.0,,,honey,1,0,0,0,0,0,0,0,0,1,4,8,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
